01Alabama                     0186              22.2485207 369040      4Paper (CMS UserID: 13)         Paper (CMS UserID: 13)         Web                            Paper (CMS UserID: 10)         Web                            Head Nurse                                                             Head Nurse                                                             Teacher                                                                Science Teacher                                                        School Nurse                                                           21C2AAAAAAAA1111212111121121111112122111111111111111121111111111111211111CCCCCCCC1111111111111111121112112221112221122212212222221112112121CCCCCCCCCCCCCCCCCCCCCCCCCC12AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAA
01Alabama                     0304              14.4290881 363010      2Paper (CMS UserID: 11)         Paper (CMS UserID: 11)         Web                            Web                            Web                            Director of Federal Programs/Secondary Schools                         Physical Education Teacher                                             Physical Education Teacher                                             Health Education Teacher                                               School Nurse                                                           1A1111111111111122211111111111111212C1111111111112211112112221112212211211111111111111111111111122222222211112222222222222222222222222222223333322222222222221111222212AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAA
01Alabama                     0483              14.4290881 363010      2Web                            Web                            Web                            Web                            Web                            Grades 7-12 Curriculum Supervisor                                      ARI Director and Grades K-6 Curriculum Supervisor                      Grades 7-12 Curriculum Supervisor                                      Grades 7-12 Curriculum Supervisor                                      Grades 7-12 Curriculum Supervisor                                      1A1111111111111121111211111122222211F11111111111111111111111111111121112111111111111111111111111CC1111C111C1111111111C11111111111111111111111111111111111111111111111111222221 secil eduction/eductionl ledershi                                                                   2AAAAAA                                                                                                     1222221 eductionl ledershi                                                                                  F222
01Alabama                     0559              17.6766467 356400      3Web                            Web                            Web                            Web                            Web                            Secondary Curriculum Coordinator                                       Elementary Curriculum Coordinator                                      Secondary Curriculum Coordinator                                       Secondary Curriculum Coordinator                                       Secondary Curriculum Coordinator                                       1A1111111211111121221111211222222212311111111111111112221121122112221112111111111111111122111211221112211122211111112221121122212221111212231111211111122111212122111111221222                                                                                                     2AAAAAA                                                                                                     1221221 Adinistrtion                                                                                        2222
01Alabama                     0563              17.6766467 368040      3Web                            Web                            Web                            Web                            Web                            Assistant Superintendent, Secondary                                    Assistant Superintendent, Elementary                                   Assistant Superintendent, Secondary                                    Assistant Superintendent, Secondary                                    Assistant Superintendent, Elementary                                   1A11111111111111212212112112211222123111111111222222222222222AA122121232111111111222222222222222AA1221222222222222222222222211112111111112231111211111111111111111111111221222                                                                                                     2AAAAAA                                                                                                     1222221 Instructionl Ledershi                                                                               3222
01Alabama                     0781              22.2485207 367560      4Web                            Web                            Web                            Web                            Web                            Health Care Coordinator                                                Health Care Coordinator                                                Health Care Coordinator                                                Health Care Coordinator                                                Health Care Coordinator                                                1A12AAAAAAAA11122122222221211211221222AAAAAAAA2222111222222121121122121211121111122122112222221211212221112211111111111111122212222112121211131111112122222211222111112AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAA
01Alabama                     0857              22.2485207 362740      4Web                            Web                            Web                            Web                            Web                            Physical Education and Health Department Head                          Physical Education and Health Department Head                          Physical Education and Health Department Head                          Physical Education and Health Department Head                          Curriculum Coordinator                                                 CCC1CCCCCCCC1111211111111112211112122111111111111111111111111221111212221111111111111111111111112211112122211111111111111211111121111211121111111111111211C111112111112AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAA
01Alabama                     0887              22.2485207 362740      4Web                            Web                            Web                            Web                            Web                            Director of Federal Programs                                           Health Education Teacher                                               Health Education Teacher                                               Health Education Teacher                                               Health Education Teacher                                               1A1111111111111122221211111AA21222222CCCCCCCCCCCCCCCCCCCCCCCCAACCCCCC222111111111222222222222222AA1111212222211111111111211211212222122112C333332212222222222222222222AAAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAA
02Alaska                      0950              18.9102064 998330      1Web                            Web                            Web                            Web                                                           Superintendent                                                         Counselor                                                              Physical Education Teacher                                             Health Education                                                                                                                              22A11121112111111111121122211222212222AAAAAAAA11221111221222211222222222111111111111111121111212112222211121211212222221222211122221122212211111211111121121122222221MMMMMMMMM                                                                                                     MMMMMMM                                                                                                     MMMMMMM                                                                                                     MMMM
02Alaska                      0783              18.9102064 998330      1Web                            Web                            Web                            Web                            Web                            Principal                                                              Teacher                                                                Teacher                                                                Teacher                                                                Principal                                                              1A21111111111111222112112122211122222111111111111111111C1222211111221222111111111111111121212222211111212M2211111CC11111CCC12211222C111112111121221121121222212121111111221212                                                                                                     1222221 Business, Cheistry                                                                                  1221222                                                                                                     C332
