01Alabama                0304             15.9286395 363010  2Web                         Director of Child Nutrition Services                                     112A2AAAAAA2AAAAAAAAAAAAAAAAAAAAAAAAA133232222222222222221212C22212211211112222222133222111112222132212121222122121222112222222332333323122333331123332222333113322111112221222212                                                                                                     2AAAAAA                                                                                                     1222212                                                                                                     211222                                                                                                     
01Alabama                0453             19.0451613 356400  3Web                         Director of School Operations and Student Services                       13A111211222AAAAAAAAAAAAAAAAAAAAAAAAA211122212222222112221111111211211111151112112214211CC114CC11C11211221111122221111111122212211112211122222223332111111111211122111112221211222                                                                                                     1222221 biology                                                                                             1211222                                                                                                     222222                                                                                                     
01Alabama                0483             15.9286395 363010  2Web                         CNP Director/Federal Programs Coordinator                                13AC11111112AAAAAAAAAAAAAAAAAAAAAAAAA211112111221222222111111111111211111141111112233222121112222131111111111111121111111112212121111322222112221122221111324111CC1111112221212121 Eductionl Ledershi (Adinistrtion, Secil Eduction, EC , Gifted, Mentl Retrdtion, Ms. ECE             1212221 Erly Childhood                                                                                      1212221 Adinistrtion/ Erly Childhood                                                                        222222                                                                                                     
01Alabama                0559             19.0451613 356400  3Web                         Child Nutrition Coordinator                                              2AAA11111112AAAAAAAAAAAAAAAAAAAAAAAAA213112112122121222221112111111211121132222222133222222212222221211111111112121111111222112331222312222113331133311111234111321111112221222122                                                                                                     1222221 Science                                                                                             1212221 Eductionl Secilist/Suervison                                                                        212222                                                                                                     
01Alabama                0563             19.0451613 368040  3Web                         Child Nutrition Director                                                 111111111112AAAAAAAAAAAAAAAAAAAAAAAAA22112221222122222222111111121111111115222212221421111211211112121C121111112121111111122211311211213222233133333321222334211111111112222AAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     112222                                                                                                     
01Alabama                0781             25.0666667 367560  4Web                         Child Nutrition Director                                                 112A12111212AAAAAAAAAAAAAAAAAAAAAAAAA211131112221121222221212122111111121142211222213211111112211121212111111111121111111122111221111323C2112133C133311112134213321211112221222112                                                                                                     1222212                                                                                                     1222122                                                                                                     212211 stte certifiction for directors                                                                     
01Alabama                0857             25.0666667 362740  4Web                         CNP Coordinator                                                          112A1211C222AAAAAAAAAAAAAAAAAAAAAAAAA2333C22122221C1222221112121111211121112212112213222C21112222121211122222221221212121122212221323323222113331112222111123111322111112222AAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     222212                                                                                                     
01Alabama                0887             25.0666667 362740  4Web                         Child Nutrition Director                                                 112A1211111144442333144333444342244342221222222222212222212121222122111111122222221132121111122C212121211111122222C222111222111221222312122321222C23221112114111322211112221122222                                                                                                     2AAAAAA                                                                                                     2AAAAAA                                                                                                     212212                                                                                                     
02Alaska                 0950             19.8905491 998330  1Web                         Grant Accountant                                                         13ACCC1112114442433333334344C43444434CCCCCCC1CCCCC1CCCCCC11111CCC1CC1C1CCC1CCCCCCCCC1CCCCCCC1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC222CCCCCCCCCCCCCCC3332CC3C22212AAAAAAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAA                                                                                                     
02Alaska                 0783             19.8905491 998330  1Web                         Food Service Manager                                                     112A111212114444332234444442455444441111122112211CCCCCCCC1211111111211111162112122212CCCC1222CCCC121211111111111121111221111111221222321122313331121111111111221211111112212AAAAAA                                                                                                     AAAAAAA                                                                                                     AAAAAAA                                                                                                     222211 Crtified Helth Coch                                                                                 
