01Alabama                     0186              25.0666667  369040     4Web                    Web                    District Social Worker                                             District Social Worker                                                 11111211122211111111112111221222222                                                                                                     15                                                                                                     21                                                                                                     22211211111111112111111221211112111221111211111111112121111221221111111121C111121C111111112112AAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
01Alabama                     0304              14.7568601  363010     2Web                    Web                    School Nurse                                                       School Nurse                                                           11111111111211112111111111111111221                                                                                                     11                                                                                                     11                                                                                                     211112221111111211121111221111222222211111111111111111221222211112222112222221221222111211222AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
01Alabama                     0453              18.3354037  356400     3Paper (CMS UserID: 10) Paper (CMS UserID: 10) Counselor Coordinator                                              Counselor Coordinator                                                  C11111222222123211C11C1C111C2121122                                                                                                     22                                                                                                     F2                                                                                                     11111121111111111111111121211122222111111211111111111111111222222111111122211112112211111221111111212                                                                                                     2AAAAA                                                                                                     111222                                                                                                     F 
01Alabama                     0483              14.7568601  363010     2Web                    Web                    At Risk Director                                                   At Risk Director                                                       11111122222222111221112111122222222                                                                                                     15                                                                                                     24                                                                                                     212112222111111211122222222222222222122222221111121122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
01Alabama                     0559              18.3354037  356400     3Web                    Web                    Social Worker                                                      Social Worker                                                          11111111122211111111112111112211122                                                                                                     14 Do not eloy  district sychologist.                                                                  21                                                                                                     111112222212111211212212222112221221221212121111221121221212211112111111222111221121111111212AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
01Alabama                     0563              18.3354037  368040     3Paper (CMS UserID: 10) Paper (CMS UserID: 10) Social Worker                                                      Social Worker                                                          21221122222122111111122111122122222                                                                                                     12                                                                                                     24                                                                                                     221112CC111111111112111111111212222221222222111222121111111121222121222222C12212112111111122111122121                                                                                                     122122                                                                                                     2AAAAA                                                                                                     1 
01Alabama                     0676              19.4428070  351730     1Web                    Web                    Director of Student Services                                       Director of Student Services                                           11222222122211213121222111221222211                                                                                                     F2                                                                                                     24                                                                                                     2222212222212112211211122122222122222222122221211211112C221122222222222222222122122222222222111121222                                                                                                     122221 sociology                                                                                           121221 theology                                                                                            F 
01Alabama                     0781              25.0666667  367560     4Web                    Web                    Health Care Coordinator                                            Health Care Coordinator                                                1111111111213333322222222C222222222                                                                                                     15                                                                                                     24                                                                                                     222222111111111111111111121111121111111111111211111112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
01Alabama                     0857              25.0666667  362740     4Web                    Web                    School Counselor                                                   Curriculum Coordinator                                                 11111111111211111111111111111111112                                                                                                     15                                                                                                     21                                                                                                     111111222222212222221222222122222222121112221112221111122222211112222222222112222222111111122AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
01Alabama                     0887              25.0666667  362740     4Web                    Web                    High School Counselor                                              High School Counselor                                                  11111122221211111111121111121111112                                                                                                     12                                                                                                     12                                                                                                     31222122222221122112112212222122222111111112112222111122122221111211222212211122122212221122111112212                                                                                                     122221 Perforing Arts Concentrtion                                                                         112212                                                                                                     1 
02Alaska                      0950              19.4428070  998330     1Web                    Web                    Counselor                                                          Counselor                                                              11111122222211213211112111211111111                                                                                                     34 unsure                                                                                              34                                                                                                     311112222222221222222222222222222222222222222212221221212112212211122112111111111111111111212AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
02Alaska                      0783              19.4428070  998330     1Web                    Web                    Counselor                                                          Counselor                                                              22121211112111111221222121212122122                                                                                                     24 Do not hve  school bsed sychologist                                                                 23 We do not hve  school socil worker                                                                  22222211222111111212112212211122222111111122111122121122221222221111111121211111122211221122111121222                                                                                                     122221 Secil Edu.  Rehbilittion                                                                            112222                                                                                                     2 
03Arizona                     0112              25.0666667  856050     4Web                    Web                    Superintendent                                                     Superintendent                                                         21121122222222222222222122222222224                                                                                                     25                                                                                                     24                                                                                                     222222222222222222222222222222222222222222222211211112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111122212                                                                                                     122212                                                                                                     122221 Eductionl Ledershi                                                                                  2 
03Arizona                     0185              25.0666667  863320     4Paper (CMS UserID: 13) Paper (CMS UserID: 13) Psychologist                                                       Psychologist                                                           11121122222212211221222212121112222                                                                                                     12                                                                                                     14                                                                                                     322212222222222222221222222211222221112111111111122111111112211212C11112222211221111112111222AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
03Arizona                     0305              25.0666667  856170     4Paper (CMS UserID: 13) Paper (CMS UserID: 13) Superintendent/Head Teacher                                        Superintendent/Head Teacher                                            11111122222211333111212122121222221                                                                                                     21                                                                                                     24                                                                                                     322AAC2222221111222222122221222222222122112222121ACCC2AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111122212                                                                                                     122212                                                                                                     122212                                                                                                     2 
03Arizona                     1029              19.4428070  852820     1Paper (CMS UserID: 12) Paper (CMS UserID: 12) shpps                                                              shpps                                                                  2222212222212111122221222C222111122                                                                                                     12                                                                                                     1C                                                                                                     12AAA22222212211221211112121122111122111121111121A1112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111121222                                                                                                     122221 Biology, couniction                                                                                 121222                                                                                                     1 
03Arizona                     1047              14.7568601  856310     2Web                    Web                    Director                                                           Director                                                               11121112211113113121111111121111113 Mster's degree in school counseling                                                                 12                                                                                                     12                                                                                                     12AAA12222212112211111122221112122221121121111221A1222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111122212                                                                                                     122221 Erly Childhood  Counictions                                                                         112212                                                                                                     1 
03Arizona                     1067              25.0666667  856050     4Web                    Paper (CMS UserID: 6)  Principal                                                          Respondent                                                             12111112212112212221222222221111122                                                                                                     12                                                                                                     14                                                                                                     22AA11221221221222212112222112222221111111221211111111222212222222111111111111111111111111212AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
03Arizona                     1160              25.0666667  863320     4Web                    Web                    Superintendent                                                     Superintendent                                                         11111122222211222211222221221122222                                                                                                     12                                                                                                     12                                                                                                     1122A2222222222222122222222222222222222222222212221112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111122212                                                                                                     2AAAAA                                                                                                     122212                                                                                                     2 
04Arkansas                    0164              25.0666667  724340     4Web                    Web                    School Nurse                                                       School Nurse                                                           11111111122111213121122121221112122                                                                                                     25                                                                                                     24                                                                                                     222221221211111112122211222111222221112212221212121112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12AAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
04Arkansas                    0400              14.7568601  718320     2Web                    Web                    Superintendent                                                     Superintendent                                                         22121112222233333111122121211222222                                                                                                     12                                                                                                     12                                                                                                     111112211111111111111112211112222222112222222211121122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
04Arkansas                    0230              14.7568601  716350     2Web                    Web                    Social Worker                                                      Social Worker                                                          11111212122211111211111111111112112                                                                                                     12                                                                                                     11                                                                                                     21111122222211121112122222212122121C2111121111C122112111111112222111111112111122111111111111111112122                                                                                                     2AAAAA                                                                                                     122122                                                                                                     1 
04Arkansas                    0254              14.7568601  718320     2Paper (CMS UserID: 12) Paper (CMS UserID: 12) Special Education Coordinator                                      Special Education Coordinator                                          11111111222211133111222122222221222                                                                                                     2C                                                                                                     C4                                                                                                     CC111211111111111111211C21111122111111111121111111111121121222222CCCCCCCCCCCCCCCCCCCCCCCCCCC12AAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
04Arkansas                    0256              14.7568601  716390     2N/A                    Web                    High School Counselor                                              Elementary School Counselor                                            CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CC                                                                                                     CC                                                                                                     CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC111122212                                                                                                     2AAAAA                                                                                                     122221 School Counseling                                                                                   1 
04Arkansas                    0257              25.0666667  720400     4Web                    Web                    Counselor                                                          Mental Health Coordinator                                              11111212122211211221212122222222222                                                                                                     15                                                                                                     24                                                                                                     21AAA12222211112222111222221212221221111122212111A111111221222222222222222222222222221111222111112212                                                                                                     112221 Journlis                                                                                            112222                                                                                                     1 
04Arkansas                    0459              25.0666667  720400     4                       Paper (CMS UserID: 16)                                                                    SHPPS                                                                  MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MM                                                                                                     MM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM2AAAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
04Arkansas                    0462              14.7568601  723420     2Web                    Web                    School Nurse                                                       School Nurse                                                           11111112212111111111111121211111112                                                                                                     14 WE DONT HAVE A SCHOOL PSYCHOLOGIST                                                                  23 DO NOT HAVE SOCIAL WORKER IN THE DISTRICT                                                           2211112222222222222212222222212222211222222222111211112111111111111111111111111112221111111112AAAAAAA                                                                                                     AAAAAA                                                                                                     AAAAAA                                                                                                     A 
04Arkansas                    0503              25.0666667  726280     4Web                    Web                    Assistant Superintendent                                           Assistant Superintendent                                               12222112212233333221222121221122122                                                                                                     11                                                                                                     11                                                                                                     121112111111111111111111111112122111111112122211111112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111122212                                                                                                     2AAAAA                                                                                                     122212                                                                                                     2 
04Arkansas                    0553              14.7568601  719010     2Paper (CMS UserID: 11) Paper (CMS UserID: 11) School Counselor                                                   School Counselor                                                       121111121221222122211221211C1111121                                                                                                     1C                                                                                                     2C                                                                                                     221111211211111121111111112111222221111111111111111112AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA1C1112212                                                                                                     2AAAAA                                                                                                     112222                                                                                                     1 
