"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2010 found at http://www.cdc.gov/mmwr/pdf/ss/ss6208.pdf",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (City and State),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
State of Clinical Service,Alabama,"8,587 ",0 ,0 ,--,--,--,0 ,0 ,0 ,127 ,--,--,0 ,--,0 ,0 ,0 ,--,--,--,--,--,--,0 ,"1,369 ",--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,--,0 ,--,0 ,124 ,--,0 ,0 ,--,0 ,0 ,0 ,0 ,--,0 ,0 ,--,0 ,0 ,"10,280 "
,Alaska,0 ,"1,654 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,50 ,"1,715 "
,Arizona,0 ,0 ,"11,059 ",0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,0 ,306 ,"11,438 "
,Arkansas,--,0 ,--,"3,937 ",--,0 ,0 ,0 ,0 ,--,0 ,0 ,0 ,--,0 ,0 ,--,--,--,0 ,0 ,--,0 ,0 ,112 ,152 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,104 ,0 ,--,0 ,0 ,0 ,169 ,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,"4,532 "
,California**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Colorado,0 ,0 ,--,0 ,--,"10,144 ",0 ,0 ,0 ,--,--,--,--,--,--,0 ,52 ,--,0 ,--,--,--,--,--,--,--,--,65 ,--,0 ,--,181 ,--,--,--,--,--,--,--,0 ,--,53 ,--,--,--,--,--,--,0 ,--,452 ,0 ,50 ,0 ,0 ,0 ,--,"11,210 "
,Connecticut,--,0 ,0 ,0 ,0 ,--,"13,030 ",--,0 ,--,--,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,135 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,--,0 ,129 ,--,0 ,0 ,0 ,0 ,--,99 ,--,0 ,0 ,--,0 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,438 "
,Delaware,0 ,0 ,--,0 ,0 ,0 ,0 ,"3,551 ",--,--,--,0 ,0 ,--,--,0 ,0 ,--,0 ,0 ,518 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,59 ,0 ,0 ,--,--,0 ,0 ,0 ,491 ,0 ,0 ,0 ,0 ,0 ,--,0 ,--,0 ,0 ,--,0 ,0 ,0 ,0 ,0 ,0 ,--,"4,666 "
,District of Columbia,0 ,--,0 ,0 ,--,0 ,--,--,"1,356 ",--,--,--,0 ,--,0 ,--,0 ,--,--,0 ,754 ,--,0 ,--,0 ,0 ,0 ,0 ,--,--,--,0 ,--,--,0 ,--,0 ,0 ,--,0 ,--,0 ,--,--,--,0 ,680 ,--,--,0 ,0 ,0 ,0 ,0 ,0 ,0 ,--,"2,896 "
,Florida**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"79,908 ","79,908 "
